Year,Age_Group,County,Number of Visits,Age-adjusted rate,NO2 AQI_mean,NO2 AQI_max,NO2 AQI_min,O3 AQI_mean,O3 AQI_max,O3 AQI_min,SO2 AQI_mean,SO2 AQI_max,SO2 AQI_min,CO AQI_mean,CO AQI_max,CO AQI_min
2009,0,Solano,172.54545454545453,58.03569597545454,18.024861878453038,46.0,2.0,26.787292817679557,93.0,4.0,2.4613259668508287,14.0,0.0,6.276243093922652,25.0,1.0
2009,1,Solano,86.9090909090909,78.47528001181819,18.024861878453038,46.0,2.0,26.787292817679557,93.0,4.0,2.4613259668508287,14.0,0.0,6.276243093922652,25.0,1.0
2012,0,Alameda,149.82608695652175,57.52173913043476,23.867605633802818,50.0,5.0,22.71267605633803,41.0,3.0,2.9661971830985916,91.0,0.0,7.343661971830986,27.0,2.0
2012,1,Alameda,62.91304347826087,74.8695652173913,23.867605633802818,50.0,5.0,22.71267605633803,41.0,3.0,2.9661971830985916,91.0,0.0,7.343661971830986,27.0,2.0
2012,0,Fresno,82.3,45.74999999999999,23.278145695364238,62.0,4.0,53.73841059602649,201.0,3.0,1.2483443708609272,11.0,0.0,6.543046357615894,24.0,1.0
2012,1,Fresno,92.275,118.26499999999996,23.278145695364238,62.0,4.0,53.73841059602649,201.0,3.0,1.2483443708609272,11.0,0.0,6.543046357615894,24.0,1.0
2012,0,Humboldt,58.63636363636363,70.58181818181818,3.510018214936248,13.5,0.0,26.03688524590164,41.0,10.5,0.037795992714025506,1.5,0.0,3.831967213114754,7.0,1.0
2012,1,Humboldt,16.0,51.33636363636364,3.510018214936248,13.5,0.0,26.03688524590164,41.0,10.5,0.037795992714025506,1.5,0.0,3.831967213114754,7.0,1.0
2012,0,Imperial,69.22222222222223,76.46666666666667,31.414110429447852,90.0,2.0,40.61656441717791,150.0,5.0,2.441717791411043,21.0,0.0,10.024539877300613,55.0,1.0
2012,1,Imperial,81.88888888888889,170.0111111111111,31.414110429447852,90.0,2.0,40.61656441717791,150.0,5.0,2.441717791411043,21.0,0.0,10.024539877300613,55.0,1.0
2012,0,Los angeles,107.90114068441065,37.360836501901126,31.56722829386763,77.5,5.0,34.70771098967822,84.0,3.5,1.999696417729204,26.0,0.0,7.741461748633882,28.5,2.0
