Date Local,State,County,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2012-01-30,California,Santa Clara,31.0,18.5,3.0,7.0
2012-01-30,California,Solano,32.0,19.0,3.0,11.0
2012-01-31,California,Alameda,29.0,18.0,9.0,7.0
2012-01-31,California,Contra Costa,19.33333333333333,21.666666666666668,4.0,4.333333333333333
2012-01-31,California,Humboldt,2.5,26.0,0.0,3.5
2012-01-31,California,Los Angeles,43.0,21.8,1.0,9.6
2012-01-31,California,Orange,31.0,31.0,0.0,6.0
2012-01-31,California,Riverside,39.0,29.0,1.0,10.5
2012-01-31,California,San Bernardino,41.5,25.5,3.5,3.5
2012-01-31,California,San Diego,25.0,33.0,0.0,6.0
2012-01-31,California,Santa Barbara,7.0,30.33333333333333,3.0,2.6666666666666665
2012-01-31,California,Santa Clara,19.0,17.5,1.5,4.0
2012-01-31,California,Solano,25.0,20.0,1.0,5.0
2012-02-01,California,Alameda,33.0,19.0,6.0,9.0
2012-02-01,California,Contra Costa,19.33333333333333,25.0,2.333333333333333,5.333333333333333
2012-02-01,California,Fresno,11.0,3.0,0.0,7.0
2012-02-01,California,Humboldt,2.0,29.0,0.0,7.0
2012-02-01,California,Los Angeles,47.0,21.2,3.2,12.8
2012-02-01,California,Orange,33.0,25.0,1.0,9.0
2012-02-01,California,Riverside,36.0,29.0,1.0,10.0
2012-02-01,California,Sacramento,15.0,22.0,0.0,2.0
2012-02-01,California,San Bernardino,37.0,28.0,3.5,3.0
2012-02-01,California,San Diego,25.0,36.0,0.0,7.0
2012-02-01,California,Santa Barbara,4.0,30.33333333333333,2.333333333333333,2.0
2012-02-01,California,Santa Clara,25.0,19.5,1.0,5.5
2012-02-01,California,Solano,28.0,21.0,1.0,10.0
2012-02-02,California,Alameda,36.0,10.0,3.0,16.0
2012-02-02,California,Contra Costa,27.0,22.666666666666668,3.333333333333333,5.666666666666667
2012-02-02,California,Fresno,26.0,3.0,1.0,14.0
2012-02-02,California,Humboldt,5.0,19.0,0.0,7.0
2012-02-02,California,Los Angeles,45.0,22.2,3.0,10.8
2012-02-02,California,Orange,36.0,16.0,0.0,7.0
2012-02-02,California,Riverside,30.0,35.0,1.0,9.0
2012-02-02,California,Sacramento,15.0,21.0,0.0,3.0
2012-02-02,California,San Bernardino,33.0,35.0,3.5,3.0
2012-02-02,California,San Diego,31.0,33.0,0.0,9.0
2012-02-02,California,Santa Barbara,10.333333333333334,33.666666666666664,3.333333333333333,1.3333333333333333
2012-02-02,California,Santa Clara,30.5,23.0,1.0,7.0
2012-02-02,California,Solano,34.0,19.0,3.0,15.0
2012-02-03,California,Alameda,47.0,20.0,3.0,10.0
2012-02-03,California,Contra Costa,27.666666666666668,23.0,3.6666666666666665,6.666666666666667
2012-02-03,California,Fresno,42.0,22.0,1.0,16.0
2012-02-03,California,Humboldt,2.0,20.0,0.0,7.0
2012-02-03,California,Imperial,42.0,28.0,1.0,6.0
2012-02-03,California,Los Angeles,44.6,20.4,2.8,14.2
2012-02-03,California,Orange,40.0,24.0,1.0,9.0
2012-02-03,California,Riverside,23.0,31.0,0.0,2.0
2012-02-03,California,Sacramento,33.0,24.0,0.0,11.0
2012-02-03,California,San Bernardino,22.5,34.0,3.5,3.5
2012-02-03,California,San Diego,35.0,32.0,0.0,10.0
2012-02-03,California,Santa Barbara,9.333333333333334,36.0,3.6666666666666665,1.6666666666666667
2012-02-03,California,Santa Clara,31.5,17.0,2.0,10.5
2012-02-03,California,Solano,30.0,24.0,1.0,14.0
2012-02-04,California,Alameda,43.0,20.0,1.0,13.0
2012-02-04,California,Contra Costa,23.666666666666668,28.33333333333333,3.333333333333333,6.0
2012-02-04,California,Fresno,42.0,31.0,1.0,16.0
2012-02-04,California,Humboldt,2.0,28.0,0.0,7.0
2012-02-04,California,Imperial,37.0,32.0,3.0,6.0
2012-02-04,California,Los Angeles,42.4,29.6,1.0,12.0
2012-02-04,California,Orange,37.0,33.0,0.0,13.0
2012-02-04,California,Riverside,31.0,36.0,0.0,4.0
2012-02-04,California,Sacramento,32.0,25.0,0.0,15.0
2012-02-04,California,San Bernardino,19.0,36.0,3.0,3.5
2012-02-04,California,San Diego,37.0,37.0,0.0,11.0
2012-02-04,California,Santa Barbara,7.0,40.66666666666666,3.333333333333333,1.6666666666666667
2012-02-04,California,Santa Clara,38.0,20.0,3.5,7.5
2012-02-04,California,Solano,35.0,30.0,1.0,15.0
2012-02-05,California,Alameda,44.0,20.0,1.0,15.0
2012-02-05,California,Contra Costa,23.33333333333333,30.666666666666668,3.6666666666666665,5.666666666666667
2012-02-05,California,Fresno,41.0,29.0,1.0,16.0
2012-02-05,California,Humboldt,4.0,33.0,0.0,7.0
2012-02-05,California,Imperial,40.0,35.0,1.0,9.0
2012-02-05,California,Los Angeles,40.8,34.2,1.4,13.4
2012-02-05,California,Orange,36.0,32.0,0.0,13.0
2012-02-05,California,Riverside,37.0,39.0,0.0,5.5
