Year,Zip_code,County,Lat,Lng,Age_group,Number_of_visits,Age-adjusted-rate,County-fips-code
2009,93041,Ventura,34.157680425000024,-119.18691724699994,Child,49.0,96.4830516,6111
2009,93041,Ventura,34.157680425000024,-119.18691724699994,Adults,46.0,32.15053734,6111
2009,93060,Ventura,34.35137208100008,-119.07434684399999,Child,139.0,40.57374372,6111
2009,93060,Ventura,34.35137208100008,-119.07434684399999,Child,51.0,49.72290635,6111
2009,93060,Ventura,34.35137208100008,-119.07434684399999,Adults,88.0,37.39688835,6111
2009,93063,Ventura,34.278953874000024,-118.69709608599999,Child,196.0,36.21781341,6111
2009,93063,Ventura,34.278953874000024,-118.69709608599999,Child,78.0,55.66351717,6111
2009,93063,Ventura,34.278953874000024,-118.69709608599999,Adults,118.0,29.46569914,6111
2009,93065,Ventura,34.26660102300008,-118.77497596499995,Child,318.0,44.99049191,6111
2009,93065,Ventura,34.26660102300008,-118.77497596499995,Child,149.0,76.02458613,6111
2009,93065,Ventura,34.26660102300008,-118.77497596499995,Adults,169.0,34.21455126,6111
2009,93101,Santa barbara,34.42087044400006,-119.70491576699999,Child,103.0,33.39209031,6083
2009,93101,Santa barbara,34.42087044400006,-119.70491576699999,Child,41.0,55.53367718,6083
2009,93101,Santa barbara,34.42087044400006,-119.70491576699999,Adults,62.0,25.70388705,6083
2009,93103,Santa barbara,34.427792037000074,-119.68371648499999,Child,86.0,46.42335438,6083
2009,93103,Santa barbara,34.427792037000074,-119.68371648499999,Child,49.0,111.9998748,6083
2009,93103,Santa barbara,34.427792037000074,-119.68371648499999,Adults,37.0,23.65327799,6083
2009,93105,Santa barbara,34.44033172300004,-119.73524825099997,Child,47.0,19.23884941,6083
2009,93105,Santa barbara,34.44033172300004,-119.73524825099997,Child,17.0,37.95758421,6083
2009,93105,Santa barbara,34.44033172300004,-119.73524825099997,Adults,30.0,12.73915993,6083
2009,93109,Santa barbara,34.40381195200007,-119.71848956399998,Child,21.0,21.33548556,6083
2009,93109,Santa barbara,34.40381195200007,-119.71848956399998,Child,0.0,0.0,6083
2009,93109,Santa barbara,34.40381195200007,-119.71848956399998,Adults,14.0,15.13547018,6083
2009,93110,Santa barbara,34.44138321500003,-119.76407736199997,Child,36.0,26.9519886,6083
2009,93110,Santa barbara,34.44138321500003,-119.76407736199997,Child,16.0,56.16590925,6083
2009,93110,Santa barbara,34.44138321500003,-119.76407736199997,Adults,20.0,16.80806517,6083
2009,93111,Santa barbara,34.44055331800007,-119.80468578399996,Child,53.0,32.53316558,6083
2009,93111,Santa barbara,34.44055331800007,-119.80468578399996,Child,17.0,48.7666104,6083
2009,93111,Santa barbara,34.44055331800007,-119.80468578399996,Adults,36.0,26.89644103,6083
2009,93117,Santa barbara,34.43020351500007,-119.86439919399999,Child,117.0,30.73406736,6083
2009,93117,Santa barbara,34.43020351500007,-119.86439919399999,Child,52.0,63.56736473,6083
2009,93117,Santa barbara,34.43020351500007,-119.86439919399999,Adults,65.0,19.333391,6083
2009,93202,Kings,36.308966514000076,-119.70707957999997,Child,33.0,158.4603261,6031
2009,93202,Kings,36.308966514000076,-119.70707957999997,Child,13.0,191.7835739,6031
2009,93202,Kings,36.308966514000076,-119.70707957999997,Adults,20.0,146.8895253,6031
2009,93203,Kern,35.195232979000025,-118.83709650899999,Child,48.0,20.2805534,6029
2009,93203,Kern,35.195232979000025,-118.83709650899999,Child,36.0,47.25577544,6029
2009,93203,Kern,35.195232979000025,-118.83709650899999,Adults,12.0,10.9139712,6029
2009,93204,Kings,36.00306943600003,-120.12960963999996,Child,39.0,27.44845331,6031
2009,93204,Kings,36.00306943600003,-120.12960963999996,Child,18.0,51.35593706,6031
2009,93204,Kings,36.00306943600003,-120.12960963999996,Adults,21.0,19.14707922,6031
2009,93205,Kern,35.58714813000006,-118.48177933899996,Child,15.0,107.0381112,6029
2009,93205,Kern,35.58714813000006,-118.48177933899996,Child,0.0,0.0,6029
2009,93205,Kern,35.58714813000006,-118.48177933899996,Adults,12.0,112.0870792,6029
2009,93210,Fresno,36.147306239000045,-120.35862618999994,Child,104.0,56.30996794,6019
2009,93210,Fresno,36.147306239000045,-120.35862618999994,Child,43.0,88.83122786,6019
2009,93210,Fresno,36.147306239000045,-120.35862618999994,Adults,61.0,45.01764017,6019
2009,93212,Kings,36.09745599100006,-119.56758752299999,Child,154.0,66.82427049,6031
2009,93212,Kings,36.09745599100006,-119.56758752299999,Child,72.0,141.6689812,6031
2009,93212,Kings,36.09745599100006,-119.56758752299999,Adults,82.0,40.83600889,6031
2009,93215,Kern,35.77430924200007,-119.24142968599995,Child,224.0,40.09515757,6029
2009,93215,Kern,35.77430924200007,-119.24142968599995,Child,129.0,73.91329438,6029
2009,93215,Kern,35.77430924200007,-119.24142968599995,Adults,95.0,28.35251631,6029
2009,93219,Tulare,35.88721855500006,-119.27439958699995,Child,61.0,41.59945947,6107
2009,93219,Tulare,35.88721855500006,-119.27439958699995,Child,43.0,83.92871954,6107
2009,93219,Tulare,35.88721855500006,-119.27439958699995,Adults,18.0,26.90150867,6107
2009,93221,Tulare,36.30288785100004,-119.13440785499995,Child,55.0,34.11828455,6107
2009,93221,Tulare,36.30288785100004,-119.13440785499995,Child,26.0,56.74896008,6107
2009,93221,Tulare,36.30288785100004,-119.13440785499995,Adults,29.0,26.26025562,6107
2009,93223,Tulare,36.302766191000046,-119.20761685299999,Child,66.0,74.71342126,6107
2009,93223,Tulare,36.302766191000046,-119.20761685299999,Child,24.0,73.31318818,6107
2009,93223,Tulare,36.302766191000046,-119.20761685299999,Adults,42.0,75.19962293,6107
